Year	Day	Nest_number	Nest_found	UTM_E	UTM_N	Datum	Zone	Area_Name	Habitat	Distance_From	Distance_On	Fresh_Nest	Species	Predation	PredatorSpecies	ReproductiveActivity	Notes
2007	185	NH01	Systematic search	534122	8118563	NAD 27	17X	LG1	Wetland	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	185	NH02	Systematic search	534140	8118538	NAD 27	17X	LG1	Wetland	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	185	NH03	Systematic search	534016	8118352	NAD 27	17X	LG1	Wetland	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	185	NH04	Systematic search	534092	8118509	NAD 27	17X	LG1	Wetland	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	185	NH05	Systematic search	534096	8118508	NAD 27	17X	LG1	Wetland	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	185	NH06	Systematic search	533987	8118446	NAD 27	17X	LG1	Wetland	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	185	NH07	Systematic search	534103	8118586	NAD 27	17X	LG1	Wetland	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM01	Systematic search	533324	8116901	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM02	Systematic search	533172	8116974	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM03	Systematic search	533230	8117074	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	188	NM04	Systematic search	533104	8116990	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM05	Systematic search	533090	8117080	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM06	Systematic search	533212	8117134	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	188	NM07	Systematic search	533118	8117052	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	Yes	
2007	188	NM08	Systematic search	533111	8117059	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	Yes	
2007	188	NM09	Systematic search	533222	8117173	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	188	NM10	Systematic search	532985	8117020	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM11	Systematic search	532989	8116967	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM12	Systematic search	533252	8117116	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	Yes	
2007	188	NM13	Systematic search	533020	8117040	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown and Collared Lemmings	No	NA	No	
2007	188	NM14	Systematic search	533187	8116952	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM15	Systematic search	533308	8116989	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM16	Systematic search	533126	8117048	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown and Collared Lemmings	No	NA	Yes	
2007	188	NM17	Systematic search	533143	8116795	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM18	Systematic search	533150	8117102	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM19	Systematic search	533186	8117125	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	188	NM20	Systematic search	533116	8117139	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM21	Systematic search	532942	8117079	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM22	Systematic search	533052	8117106	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown and Collared Lemmings	No	NA	No	
2007	188	NM23	Systematic search	532989	8117020	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	188	NM24	Systematic search	533208	8117135	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	188	NM25	Systematic search	533050	8117048	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	188	NM26	Systematic search	533126	8117104	NAD 27	17X	LG2	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX01	Systematic search	534130	8117292	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	195	NX02	Systematic search	534133	8117330	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Collared Lemming	No	NA	Yes	
2007	195	NX03	Systematic search	534035	8117223	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown and Collared Lemmings	No	NA	No	
2007	195	NX04	Systematic search	533950	8117238	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX05	Systematic search	533972	8117254	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX06	Systematic search	533928	8117265	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX07	Systematic search	534124	8117402	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	195	NX08	Systematic search	534102	8117383	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	195	NX09	Systematic search	533914	8117291	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX10	Systematic search	533974	8117411	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX11	Systematic search	533944	8117351	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX12	Systematic search	534088	8117408	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	195	NX13	Systematic search	533909	8117402	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	195	NX14	Systematic search	533898	8117320	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	195	NX15	Systematic search	533964	8117475	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	195	NX16	Systematic search	533949	8117466	NAD 27	17X	LX1-snow fence experiment	Mesic	NA	NA	Yes	Brown Lemming	No	NA	No	
2007	167	N001	Opportunistically	533317	8116451	NAD 27	17X	NA	NA	NA	NA	Yes	Collared Lemming	No	NA	No	
2007	167	N002	Opportunistically	532737	8117602	NAD 27	17X	NA	NA	NA	NA	Yes	Brown and Collared Lemmings	No	NA	No	
